product_id,title,category,price,stock,brand
1,Proactive analyzing function    ,toys            ,486,135,BookWorld       
2,Secured incremental task-force  ,electronics     ,145,178,SportsPro       
3,Secured uniform conglomeration  ,clothing        ,287,109,HomeGoods       
4,Mandatory explicit capacity     ,food            ,121,150,SportsPro       
5,Fully-configurable asymmetric at,electronics     ,203,75,TechCorp        
6,Grass-roots disintermediate midd,food            ,479,120,TechCorp        
7,Customer-focused bi-directional ,sports          ,153,136,StyleBrand      
8,Stand-alone heuristic portal    ,toys            ,134,173,HomeGoods       
9,Re-engineered user-facing analyz,food            ,311,134,SportsPro       
10,Cloned incremental policy       ,clothing        ,253,54,HomeGoods       
11,Synchronized solution-oriented s,food            ,116,193,SportsPro       
12,Digitized motivating leverage   ,home            ,5,33,SportsPro       
13,Grass-roots object-oriented focu,home            ,256,44,TechCorp        
14,Reduced 4thgeneration forecast  ,books           ,133,148,BookWorld       
15,Enterprise-wide value-added util,sports          ,420,140,StyleBrand      
16,Reduced demand-driven ability   ,sports          ,476,152,BookWorld       
17,Ergonomic zero tolerance focus g,electronics     ,338,100,HomeGoods       
18,Programmable bottom-line service,sports          ,498,54,SportsPro       
19,Networked high-level toolset    ,sports          ,94,93,SportsPro       
20,Organized zero administration an,clothing        ,438,75,StyleBrand      
21,Switchable 24/7 capability      ,toys            ,155,30,TechCorp        
22,Robust multimedia superstructure,electronics     ,390,167,SportsPro       
23,Balanced 24/7 Graphical User Int,food            ,233,70,TechCorp        
24,Streamlined 24/7 monitoring     ,food            ,54,84,TechCorp        
25,Networked interactive Graphic In,electronics     ,75,75,TechCorp        
26,Intuitive solution-oriented enco,food            ,247,73,SportsPro       
27,Persevering bandwidth-monitored ,electronics     ,470,16,SportsPro       
28,Upgradable maximized utilization,toys            ,62,40,TechCorp        
29,Managed 6thgeneration secured li,clothing        ,486,130,HomeGoods       
30,Right-sized 24hour support      ,sports          ,478,14,BookWorld       
